battleInitInstructionsSelectionPhase;Adjust battlers position by pressing <color="yellow">X</color>, then by chosing the battler to swap with.<br>Press <color="yellow">Start</color> once you are ready.
battleInitInstructionsConfirmPositionChange;Confirm position swap with <color="yellow">X</color>, or press <color="yellow">Cancel</color> to cancel the operation.
battleStart;Battle Start!!!
battleVictory;Victory!!!
battleDefeat;Defeat...
AttackCommand;Attack
attackCommandDescription;Attack with equipped weapon.
FleeCommand;Flee
fleeCommandDescription;Attempt to leave the battlefield.
noAction;Inactive
