haalmikahBarmaid;Barmaid
haalmikahBarmaidLine1;Greetings my Lord. How can I help you?
haalmikahBarmaidLine2;The pleasure is mine.
haalmikahBarracksSoldier1;Soldier
haalmikahBarracksSoldier1Line1;Our walls are strong, but our weak point remains the skies.
haalmikahBarracksSoldier2;Soldier
haalmikahBarracksSoldier2Line1;The fortress is surrounded by forests and the Gornich Bay protects us north. They can only attack from the west and the skies.
haalmikahBarracksSoldier3;Soldier
haalmikahBarracksSoldier3Line1;We must remain ready at all times. We are in charge of protecting the royal palace.
haalmikahBarracksSoldier4;Soldier
haalmikahBarracksSoldier4Line1;We are preparing a new defensive strategy in case of an attack from Ulyomnis.
haalmikahBarracksSoldier5;Soldier
haalmikahBarracksSoldier5Line1;There is no immediate threat, but we better be prepared!
haalmikahBarracksSoldierNearStairs;Soldier
haalmikahBarracksSoldierNearStairsLine1;Sire, if you need to rest, beds are available downstairs.
haalmikahDiceAddict;Dice addict
haalmikahDiceAddictLine1;This place is so damn dead! Boring as hell! I'm not here to gossip, I wanna play dice!
haalmikahDrunkard;Drunkard
haalmikahDrunkardLine1;Hi, my Lord. Please enjoy a lil' glass with us! Tell us about dae gossip from the castle.
haalmikahDrunkardLine2;I'm sorry but I can't join right now. Captain Warlok is waiting for me.
haalmikahDrunkardLine3;Ain't no worries! Please, come back next time to enjoy a few pints with your fellas!
haalmikahHouseYoungGirl;Young girl
haalmikahHouseYoungGirlLine1;Mum spends all day either at the well, or with her face burried in a book. Is that how I will be as an adult too?
huntersClanHunter1;Hunter
huntersClanHunter1Line1;We complement the militia in protecting the fortress and its inhabitants. They are better at fighting armies, while we excel at vanquishing monsters.
huntersClanHunter1Line2;Our techniques are also more diverse and refined, as we have fought a plethora of different opponents.
huntersClanHunter2;Huntress
huntersClanHunter2Line1;Marks pay well, but always be on point! The targets Magnus finds quickly get hands on them.
huntersClanHunter2Line2;I guess it's difficult for a newcomer. The competition here is fierce.
huntersClanHunter3;Hunter
huntersClanHunter3Line1;Magnus, our leader, is downstairs. He manages the members, talks with the militia and finds us good preys to hunt.
huntersClanHunter3Line2;One of a kind, I'd say. He talks and hunts well. I just hunt, like an animal. I think we are all animals, after all.
huntersClanHunter4;Hunter
huntersClanHunter4Line1;Some hunters only stay in one area. They hunt what needs to be hunted. Whatever the target.
huntersClanHunter4Line2;Some hunters are travelers. They only hunt big marks, with a nice price on their head. I have to say, they are usually pretty good.
huntersClanSoldier;Soldier
huntersClanSoldierLine1;We owe a lot to these hunters. Without them, I don't think we could make it. And honestly, they are better than us.
huntersClanSoldierLine2;Although, I have to say, their manners sometimes don't match their technique...
haalmikahWellLady;Well Lady
haalmikahWellLadyLine1;The water from the well is so refreshing. But we have to moderate ourselves. Each person is allowed to draw water from the well only once a day.
