moneyLabel;Okane
moneyLabelPlural;Okanes
experience;XP
newGameLabel;New Game
loadGameLabel;Load Game
titleScreenOptionsLabel;Options
exitLabel;Exit
language;Language
musicVolume;Music Volume
soundVolume;Sound Volume
backButton;Back
items;Items
equipment;Equipment
abilities;Abilities
status;Status
quests;Quests
system;System
effects;Effects
levelShort;Lv.
consumables;Consumables
consumable;Consumable
resources;Resources
weapons;Weapons
armours;Armours
accessories;Accessories
keyItems;Key Items
rightHand;Right Hand
leftHand;Left Hand
head;Head
body;Body
shield;Shield
accessory;Accessory
health;Health
mana;Mana
essence;Essence
strength;Strength
defense;Defense
magic;Magic
magicDefense;Magic Defense
agility;Agility
luck;Luck
critChance;Crit. Chance
evasion;Evasion
parry;Parry
provocation;Provocation
accuracy;Accuracy
critDmg;Crit. Damage
maxHealth;Max Health
maxMana;Max Mana
maxEssence;Max Essence
affinities;Affinities
neutral;Neutral
fire;Fire
ice;Ice
thunder;Thunder
water;Water
earth;Earth
wind;Wind
holy;Holy
darkness;Darkness
healing;Healing
essenceAffinity;Essence Affinity
poison;Poison
bleedI;Bleed I
bleedII;Bleed II
bleedIII;Bleed III
hemoI;Hemorrhage I
breakI;Break I
breakII;Break II
breakIII;Break III
magicBreakI;Magic Break I
magicBreakII;Magic Break II
magicBreakIII;Magic Break III
slowI;Slow I
slowII;Slow II
slowIII;Slow III
blind;Blind
silence;Silence
shell;Shell
protect;Protect
regen;Regen
manaRegen;Mana Regen
bravery;Bravery
faith;Faith
grounded;Grounded
human;Human
undead;Undead
sword;Sword
dagger;Dagger
spear;Spear
axe;Axe
bow;Bow
claws;Claws
scepter;Scepter
staff;Staff
grimoire;Grimoire
scythe;Scythe
fist;Fist
firearm;Firearm
arbalest;Arbalest
mace;Mace
inStock;Possessed:
buy;Buy
sell;Sell
leave;Leave
wishToBuy;How many do you wish to buy?
wishToSell;How many do you wish to sell?
inventory;Inventory
statistics;Statistics
createSaveTooltip;Select a slot to create the save file.
loadSaveTooltip;Select the save file to load.
noSaveData;No save data
informationLabel;Information
warningLabel;Warning
msgBoxOk;Ok
