haalmikahBarmaid;Barmaid
haalmikahBarmaidLine1;Bonjour mon prince. En quoi puis-je vous aider ?
haalmikahBarmaidLine2;Tout le plaisir est pour moi !
haalmikahBarracksSoldier1;Soldat
haalmikahBarracksSoldier1Line1;Nos murailles sont fortes, mais nous restons vulnérables des cieux.
haalmikahBarracksSoldier2;Soldat
haalmikahBarracksSoldier2Line1;La forteresse est entourée de forêts et de la Baie de Gornich nous protège au nord. Seule une attaque de l'ouest ou des cieux est possible.
haalmikahBarracksSoldier3;Soldat
haalmikahBarracksSoldier3Line1;Nous devons rester prêts à tout instant, en tant que défenseurs du palais royal.
haalmikahBarracksSoldier4;Soldat
haalmikahBarracksSoldier4Line1;Nous élaborons une nouvelle stratégie défensive en cas d'attaque d'Ulyomnis.
haalmikahBarracksSoldier5;Soldat
haalmikahBarracksSoldier5Line1;Il n'y a aucune menace imminente, mais nous devons toujours être prêts !
haalmikahBarracksSoldierNearStairs;Soldat
haalmikahBarracksSoldierNearStairsLine1;Messire, si vous avez besoin de repos, des lits sont à disposition au sous-sol.
haalmikahDiceAddict;Accro aux dés
haalmikahDiceAddictLine1;Ce trou est d'un ennui depuis que la patronne a interdit le jeu de dés !
haalmikahDrunkard;Ivrogne
haalmikahDrunkardLine1;Salutations mon prince! J'vous en prie. Prenez place et racontez-nous ce qui se trame au château.
haalmikahDrunkardLine2;Je m'excuse mais je peux me joindre à vous. Le Capitaine Warlok m'attend.
haalmikahDrunkardLine3;Pas de problème ! Venez donc trinquez avec nous la prochaine fois que vous êtes de passage !
haalmikahHouseYoungGirl;Jeune fille
haalmikahHouseYoungGirlLine1;Maman passe ses journées soit près du puits, soit le nez dans ses bouqins. Je serai comme ça moi aussi plus tard ?
huntersClanHunter1;Chasseur
huntersClanHunter1Line1;Nous complémentons la milice dans la protection de la forteresse et ses habitants. Ils sont meilleurs face à des troupes, alors que nous excellons contre les monstres.
huntersClanHunter1Line2;Nos techniques sont également plus élaborées et diverses, étant donné que nous avons affronté pléthore d'opponsants différents.
huntersClanHunter2;Chasseresse
huntersClanHunter2Line1;Les contrats paient bien, mais restez au taquet! Les cibles trouvées par Magnus sont très convoitées.
huntersClanHunter2Line2;C'est pas facile pour les nouveaux. La compétition est rude ici.
huntersClanHunter3;Chasseur
huntersClanHunter3Line1;Magnus, notre leader, est au sous-sol. Il gère les membres du clan, discute avec la milice et nous dégote de belles proies à chasser.
huntersClanHunter3Line2;Il a son air à lui. Il parle bien et chasse bien. Moi, je chasse, comme un animal. Nous sommes tous des animaux, au fond.
huntersClanHunter4;Chasseur
huntersClanHunter4Line1;Certains chasseurs restent au même endroit et chassent ce qui doit être chassé, peu importe la cible.
huntersClanHunter4Line2;Certains chasseurs sont nomades. Ils cherchent seulement les gros morceaux, avec une bonne prime sur la tête. Ils sont en général plus doués.
huntersClanSoldier;Soldat
huntersClanSoldierLine1;Nous devons beaucoup aux chasseurs. Sans eux, je crains que nous ne pourrions assurer l'entière protection de Haalmikah. Ils sont juste meilleurs.
huntersClanSoldierLine2;Néanmoins, je dois dire qu'ils ont plus de technique que manières...
haalmikahWellLady;Dame du puits
haalmikahWellLadyLine1;L'eau du puits est si rafraichissante. Mais elle est a consommer avec modération : chaque habitant ne peut puiser qu'une fois par jour.
haalmikahWellLadyLine2;Beaucoup de préparations utilise de l'eau, et elle peut servir de substitut à de simples potions. Elle reste néanmoins moins efficace.
huntersClanVeteran;Vétéran
huntersClanVeteranLine1;A chaque combat son arme. A chaque ennemi ses faiblesses élémentaires.
huntersClanVeteranLine2;La plupart d'entre eux ont une faiblesse. Les semblables la partagent.
haalmikahItemMerchant;Marchand
haalmikahItemMerchantLine1;Bienvenue ! Regardez donc !
haalmikahItemMerchantLine2;A la prochaine !
haalmikahItemShopCustomer;Client
haalmikahItemShopCustomerLine1;On trouve plein de produits fabriqués ici. Certains marchands acceptent aussi de fabriquer des produits avec les produits qu'on leur amène !
haalmikahItemShopCustomerLine2;Et apparemment, il existe aussi des outils pour réaliser ces fabrications n'importe où !
haalmikahOldMan;Vieil homme
haalmikahOldManLine1;Oh mon seigneur ! J'ai entendu que vous exerciez avec le Capitaine Warlok au combat.
haalmikahOldManLine2;Avant de vous aventurer au-delà des murs, pensez à consulter les différentes échopes de la ville.
haalmikahOldManLine3;La tenancière de la taverne peut également vous cuisiner de bons plats pour préparer votre prochain combat.
haalmikahRegular1;Habitué
haalmikahRegular1Line1;Puisqu'on ne peut plus jouer aux dés ici, la plupart de mes amis sont partis à Farment, le village voisin. Mais traverser la forêt de Gramont juste pour jouer aux dés ? Non merci !
haalmikahSoldierNearBarracks;Soldat
haalmikahSoldierNearBarracksLine1;Mon seigneur ! Que cette belle journée soit remplie de prouesses et de grandeur !
haalmikahSoldierNearBarracksLine2;La milice reste à l'affût de l'ennemi Ulyomnien ! Il ne dort jamais.
haalmikahTownsman1;Citoyen
haalmikahTownsman1Line1;Sa Majesté semble... facilement agacé depuis le décès de Dame Alynea. Enfin, vous le vivez au quotidien, n'est-ce pas ?
haalmikahWeaponMerchant;Marchand
haalmikahWeaponMerchantLine1;Les meilleurs armes sont ici !
haalmikahWeaponMerchantLine2;Ces lames ne vous décevront pas !
haalmikahItemShop;Marchand d'objets
